session_id,avg_resolution,rebuffering_ratio,startup_latency,bitrate_switches_per_second
train_02112,1080.0,0.0,0.0,0.0
train_01280,1080.0,0.0,0.0,0.0
train_07328,535.4102529995477,0.006117037785877073,0.0,0.007137937064808898
train_00139,292.3565469547338,0.0,0.0,0.004820938299221177
train_07759,240.00000000000006,0.0,0.0,0.0
train_06692,293.8996808226285,0.11424977594691905,0.0,0.0035502160306454646
train_04902,480.0,0.0,2.237,0.005432273134693212
train_02615,720.0,0.0,1.502,0.0
train_06287,317.10369732308504,0.0,1.459,0.014538355296634371
train_01262,719.9999999999998,0.0,1.63,0.011853256682273453
train_05458,444.7682133494439,0.0,1.645,0.005418189403646983
train_05535,719.9999999999999,0.12811700965667897,0.0,0.0
train_06576,963.0908558736938,0.0,0.0,0.005739111470762097
train_02889,360.00000000000006,0.0,0.0,0.0
train_01364,1080.0000000000002,0.0,0.0,0.0
train_05673,395.2626005532152,0.07436935121436813,1.133,0.008977385964754782
train_05590,1080.0,0.0,0.0,0.0
train_00985,360.0,0.0,1.198,0.0
train_02996,729.1888910788327,0.0,8.147,0.005505738815091597
train_07413,1079.9999999999998,0.0,0.0,0.0
train_03003,725.6584272987625,0.19507469679196568,0.0,0.0043763101578535085
train_02018,480.0,0.0,2.193,0.0
train_04065,350.14921740854743,0.0,1.72,0.006786378381313029
train_04500,144.0,0.012358557998465056,0.0,0.0
train_04335,359.99999999999994,0.0,0.0,0.0
train_06252,464.7925310191843,0.0,0.0,0.004875313848328986
train_02796,720.0000000000001,0.0,0.0,0.0
train_06021,719.9999999999999,0.0,0.0,0.0
train_07184,542.6896852405808,0.0,0.0,0.009083092126775745
train_00914,720.0000000000001,0.08226134944320182,0.0,0.0
train_06272,719.9999999999999,0.0,0.0,0.0
train_04178,1080.0,0.0,0.0,0.0
train_02660,415.19791183101177,0.0,1.6,0.013960981847931403
train_03309,533.5742747457787,0.02498050053698012,0.0,0.005432678921884869
train_06196,351.64255238754976,0.008102817618380382,2.685,0.016101158209980572
train_01145,480.0,0.0,2.038,0.005679720557748559
train_00921,321.8149066345214,0.07643801032592627,9.374,0.006246818027067463
train_00180,360.00000000000006,0.0,0.0,0.0
train_05148,1080.0000000000002,0.0,0.0,0.0
train_01210,1080.0,0.0,3.495,0.0
train_03060,480.0,0.0,0.949,0.0
train_04990,401.48796679641123,0.03429110269090859,0.0,0.005345554458726974
train_07133,556.4760188661638,0.0,1.005,0.021693228820177594
train_06119,719.9999999999999,0.0,0.0,0.0
train_02312,332.2026972740316,0.05221425155428025,0.0,0.005045866930397312
train_02313,445.3881114231405,0.0,0.0,0.005214974277139378
train_02694,451.4283518316393,0.0,0.0,0.009904500803255015
train_02695,343.21879041566416,0.0,1.7930000000000001,0.021123041718007392
train_00239,1080.0,0.0,0.939,0.0
train_01576,720.0,0.0,1.5390000000000001,0.004666834672714884
train_01952,710.8596476794672,0.004960718211053995,0.0,0.000696745964099003
train_05901,360.0,0.030471486820191813,1.92,0.011982936298710636
train_02033,480.0,0.0,1.967,0.006095925483406891
train_06305,495.9699546545745,0.09492664710589489,0.0,0.002947140095251568
train_05697,239.99999999999997,0.0,3.951,0.0
train_05620,302.73140424856905,0.0,0.0,0.0026437890785073167
train_04374,466.80333938544766,0.0,0.0,0.004317798613554865
train_03578,480.0,0.0,0.0,0.0
train_04669,480.0,0.0,1.084,0.0
train_06532,1079.9999999999998,0.0,0.0,0.0
train_04868,897.1734130539808,0.0,3.423,0.010396415315999044
train_00064,480.00000000000006,0.0,1.17,0.0
train_00539,359.19874541505635,0.0785099835302918,1.039,0.0023794284137064596
train_06516,360.0,0.0,0.0,0.0
train_03326,186.62808463989217,0.0483683715689745,13.01,0.01265844149268342
train_02917,290.30437000510113,0.0,3.759,0.02993429422417793
train_02627,697.4271589900417,0.0,1.106,0.004329725949995995
train_07515,720.0,0.0,0.0,0.0
train_04267,1080.0000000000002,0.0,0.0,0.0
train_05342,480.0,0.0,1.1,0.007078844166324522
train_02623,450.6565775120476,0.0,3.069,0.005953822155363005
train_00870,360.0,0.0,2.335,0.0
train_03695,720.0,0.10609551938586495,0.0,0.0
train_03112,275.0507881738473,0.0885590716800983,4.8309999999999995,0.007877592712701567
train_06808,315.2404119715248,0.0,1.287,0.010380788067906961
train_05708,306.2243085649956,0.0,1.899,0.01656634822463968
train_01637,551.2765818849377,0.011518076570041155,5.265,0.03711608054189477
train_00339,360.00000000000006,0.0,0.0,0.0
train_05426,926.4073747403761,0.0,0.0,0.005690386092696389
train_02186,360.0,0.0,0.0,0.0
train_06184,1079.9999999999998,0.0,1.369,0.0
train_05363,720.0,0.0,0.0,0.0
train_03005,655.5969489182816,0.21650859761034416,4.904,0.02153213072395808
train_06793,261.73268776038736,0.01750610270388555,0.0,0.004324763813836217
train_05735,898.59677728953,0.0,3.586,0.010396890913741155
train_02880,601.0967504878372,0.0,0.0,0.003567364324216339
train_06435,474.70480836679775,0.0,0.0,0.0024441451724466624
train_04791,361.8657137071839,0.0,5.852,0.005653646319193564
train_03477,480.0,0.0,0.0,0.0
train_01773,442.32748464381757,0.0,1.395,0.00602075957902849
train_04800,480.00000000000006,0.0,1.529,0.002162816852668916
train_06864,383.3320029004293,0.0,3.932,0.006498865947892093
train_04372,1080.0,0.0,2.135,0.010625863351397301
train_06902,380.20185081289026,0.0,0.0,0.018495798371136688
train_01367,333.44965619303724,0.1387835395487582,5.479,0.009130891327175055
train_03825,596.7119389332578,0.0,0.0,0.003566149396696676
train_00646,1079.9999999999998,0.0,0.0,0.0
train_01899,719.9999999999999,0.0,0.0,0.0
train_02444,720.0,0.07178761617429688,0.0,0.0
train_01386,605.5962520382931,0.0,0.0,0.003568128052979565
train_00222,480.0000000000001,0.0,0.0,0.0
train_01884,455.8075158928139,0.0,0.0,0.006705828706311526
train_07001,587.4473802379204,0.0,0.0,0.0035638172759606267
train_02952,417.957503404161,0.0,1.384,0.0106332075070445
train_05782,480.0,0.0,3.844,0.0
train_04228,277.6636549111047,0.0,0.879,0.0043261389642358095
train_04270,271.9697396889864,0.0,1.342,0.0043705434115150705
train_03151,376.679529445354,0.0,0.0,0.008922158627058231
train_03269,185.65823393522226,0.0,0.0,0.001885813964452407
train_01879,367.73840863327877,0.0,3.459,0.011186082723318957
train_03108,480.0,0.0,1.4689999999999999,0.0
train_00201,720.0000000000001,0.6285130792903693,6.731,0.0
train_02898,719.9999999999999,0.0,0.0,0.0
train_06911,359.99999999999994,0.0,0.0,0.0
train_07138,353.5522434204594,0.017481031084545327,4.579,0.027897504568216373
train_04573,480.00000000000006,0.0,0.0,0.0
train_02407,720.0,0.0,0.0,0.0
train_01988,555.1660738871043,0.0,1.107,0.021684291176661923
train_06479,720.0000000000001,0.0,1.685,0.0
train_00458,480.0,0.0,1.806,0.0
train_00942,720.0000000000001,0.0,0.0,0.0
train_05876,479.99999999999994,0.0,0.0,0.0
train_03207,445.0960410220998,0.0,1.7,0.005419657640226867
train_03646,1079.9999999999998,0.0,0.0,0.0
train_01736,440.35899832320854,0.0041067648918332,2.249,0.016664491024782877
train_07458,1080.0,0.0,0.988,0.0
train_07561,503.21125033638015,0.0,0.0,0.005346440429069666
train_06970,1080.0,0.0,0.0,0.0
train_02824,1079.9999999999998,0.0,0.0,0.0
train_07524,360.00000000000006,0.0,0.0,0.0
train_01893,449.7299561941259,0.0,3.0,0.01883156421249537
train_04555,302.44457005405917,0.0,3.45,0.00502327029966319
train_04851,487.3905786723437,0.13227985291271527,9.322,0.025055292474984565
train_01080,551.3671979105591,0.006467316951832704,5.224,0.03691558022063212
train_06468,453.0216711131595,0.004192407576469337,0.0,0.008900756564307966
train_04659,445.2513205523528,0.0,2.463,0.016303284568397712
train_07470,1080.0,0.0,1.043,0.0
train_01588,401.2559765564752,0.017621201994756055,4.602,0.027843131795464354
train_00685,720.0,0.0,1.343,0.0
train_06085,720.0,0.0,0.0,0.0
train_02909,358.4897330931717,0.0,2.465,0.006603166218201627
train_01607,589.3964230792989,0.0,0.0,0.004876732459206132
train_04955,360.0,0.0,0.0,0.0
train_06374,360.0,0.0,0.0,0.0
train_06734,1080.0,0.0,0.0,0.0
train_03919,719.9999999999998,0.0,0.0,0.0
train_00276,222.14422073843647,0.032436322859075994,5.757,0.007021258967903016
train_02761,479.9999999999999,0.0,1.246,0.0
train_06385,719.9999999999999,0.0,0.0,0.0
train_02268,360.00000000000006,0.0,1.5030000000000001,0.0
train_03865,1080.0000000000002,0.0,0.0,0.0
train_03619,1079.9999999999998,0.0,0.0,0.0
train_07047,297.90195671364535,0.07726121468248309,8.763,0.007962132099733668
train_00241,561.6335673329404,0.0,0.0,0.014290052337316684
train_05054,720.0,0.10590093497149321,0.0,0.0
train_07286,351.2843665414027,0.01044858486847292,5.446,0.01640859591644743
train_04054,480.00000000000006,0.0,0.0,0.0
train_01997,597.1798618162007,0.0,4.96,0.01721422239053906
train_04843,480.00000000000006,0.0,0.0,0.0
train_02271,383.3887640449438,0.0,4.9190000000000005,0.01781573944226555
train_04325,674.2990253212627,0.0,0.0,0.011507423109864657
train_06264,693.8307883395981,0.0,6.975,0.004137925326999549
train_02173,719.9999999999999,0.0,0.0,0.0
train_06426,753.8318119230964,0.0,0.0,0.010199398235504106
train_01131,912.4838195821832,0.0,3.08,0.003670000862450203
train_00892,202.59273352877813,0.0,0.0,0.002679772540906728
train_04981,422.8101380062422,0.0,0.0,0.009400970180122589
train_00524,545.6274777480479,0.0,0.0,0.0013651504395784417
train_03766,365.6390790410633,0.0,5.086,0.00964974637249951
train_02754,360.00000000000006,0.0,0.0,0.0
train_01495,320.7414796136475,0.12587744025971612,0.0,0.0035438498258197806
train_04042,380.5521225833813,0.0,0.0,0.008881566530704686
train_06290,300.73243432977114,0.0,1.787,0.00737035544767539
train_00598,729.5768511745102,0.0,5.438,0.005472485256212639
train_04410,349.71054675043627,0.0,0.0,0.0024342212561068526
train_01601,588.9558371408532,0.0,0.0,0.004916453074094225
train_04059,719.9999999999999,0.0,0.0,0.0
train_02731,583.5773474064662,0.0,0.0,0.002729820145799694
train_06831,540.2066306943783,0.024471587948001517,0.0,0.0027187026351025287
